
Image Name                     PID Session Name        Session#    Mem Usage
slack.exe                    16692 Console                    1     42,168 K
slack.exe                    16720 Console                    1     36,896 K
slack.exe                    17092 Console                    1    115,492 K
figma_agent.exe              17196 Console                    1      6,476 K
HControl.exe                 17128 Console                    1      1,680 K
Cortana.exe                  17632 Console                    1     26,940 K
RuntimeBroker.exe            17736 Console                    1      3,236 K
svchost.exe                  17892 Console                    1      9,296 K
ShellExperienceHost.exe      17924 Console                    1    130,108 K
RuntimeBroker.exe            18120 Console                    1     27,604 K
Spotify.exe                  18380 Console                    1    110,504 K
Rainmeter.exe                17840 Console                    1     20,780 K
jusched.exe                  17568 Console                    1      6,592 K
Spotify.exe                  18252 Console                    1      8,580 K
Spotify.exe                  18476 Console                    1     48,084 K
Spotify.exe                  18796 Console                    1     10,196 K
Spotify.exe                  18820 Console                    1     23,972 K
Spotify.exe                  19316 Console                    1    375,064 K
RtkAudUService64.exe          2520 Console                    1      3,528 K
svchost.exe                   5368 Services                   0     19,048 K
ApplicationFrameHost.exe     19204 Console                    1     20,736 K
svchost.exe                  15632 Services                   0      5,340 K
UserOOBEBroker.exe           13144 Console                    1      4,272 K
ATKOSD2.exe                   1720 Console                    1      1,976 K
SDXHelperBgt.exe              4956 Console                    1        976 K
RuntimeBroker.exe             9036 Console                    1      9,096 K
svchost.exe                  11448 Console                    1     15,308 K
svchost.exe                   7928 Services                   0     10,872 K
LMS.exe                       7316 Services                   0      3,300 K
servicehost.exe               6280 Services                   0     20,028 K
SgrmBroker.exe                5848 Services                   0      6,056 K
uihost.exe                   17480 Console                    1     16,836 K
BullGuard.exe                 1304 Console                    1     26,928 K
jucheck.exe                  16824 Console                    1      5,480 K
unsecapp.exe                 18972 Services                   0      2,208 K
TrustedInstaller.exe         19008 Services                   0      4,188 K
TiWorker.exe                 10544 Services                   0      5,796 K
svchost.exe                  16716 Services                   0      2,736 K
fodhelper.exe                10844 Services                   0      1,676 K
chrome.exe                    9268 Console                    1    259,688 K
chrome.exe                   16088 Console                    1      7,928 K
chrome.exe                   14480 Console                    1    325,660 K
chrome.exe                   15180 Console                    1     44,952 K
chrome.exe                   12956 Console                    1     17,940 K
chrome.exe                   18568 Console                    1     85,336 K
chrome.exe                    7708 Console                    1     45,488 K
chrome.exe                   14536 Console                    1    133,680 K
chrome.exe                   17496 Console                    1     33,136 K
chrome.exe                    9648 Console                    1     31,116 K
chrome.exe                   13392 Console                    1     76,116 K
dllhost.exe                  18400 Console                    1     14,592 K
devenv.exe                   13908 Console                    1    483,824 K
chrome.exe                    7492 Console                    1     66,616 K
cmd.exe                       9692 Console                    1      4,092 K
conhost.exe                  16868 Console                    1      7,036 K
browserhost.exe               4928 Console                    1     10,196 K
PerfWatson2.exe               5032 Console                    1     45,168 K
Microsoft.ServiceHub.Cont    16612 Console                    1     52,564 K
conhost.exe                  13444 Console                    1      5,256 K
ServiceHub.IdentityHost.e    15412 Console                    1     56,696 K
conhost.exe                  16740 Console                    1      5,264 K
